Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please evaluate your familiarity of Ukiyo-e images,Your last obtained education degree,,Your major research/study area,,https://research.britishmuseum.org/collectionimages/AN00418/AN00418829_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00588/AN00588993_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN00418/AN00418887_001_l.jpg,https://research.britishmuseum.org/collectionimages/AN16130/AN1613004271_l.jpg,https://research.britishmuseum.org/collectionimages/AN00513/AN00513107_001_l.jpg
,,,,,,,,,Response,Response,Other,Response,Other,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11227853628,251551428,12/17/2019 03:38:15 PM,12/17/2019 03:40:59 PM,133.19.169.1,,,,,3,Bachelor,,Computer Science,,gorgeous,scary,holy,scary,beautiful
11227852450,251551428,12/17/2019 03:38:11 PM,12/17/2019 03:51:45 PM,133.19.169.1,,,,,Unfamiliar,Bachelor,,Computer Science,,"There are five people on one boat,  four men, one women. The guy sitting on the rear is hardly to find. And one man with a square hat is fishing, and he is successful. Others are cheering for him. The boat is made of wood, with a dragon head on the front, and one monster on the rear. There is a flag on the boat with two character in Kanji.  ","The picture contains one man who is lifting a woman`s mask. The man is wearing no trousers,  but with two swords. I think the season is on autumn, because there are many momiji on the ground. The man seems very sad, maybe it is because he just lost someone that he loves very much.","There are 12 people in total, two of them are on the horse, and five of them are lifting a little temple. They are all wearing clothes in yellow. Some of them have some accessories.","It is a very terrified picture in my opinion, with five people. They are praying something with high strength of faith. They are kneeling, shouting, seems mad.","it seems like the main character is a princess or a queen, and two followers are serving her.  The two followers are wearing a pair of gloves with dragon pattern"
11227851356,251551428,12/17/2019 03:36:51 PM,12/17/2019 03:43:28 PM,133.19.169.1,,,,,Unfamiliar,Bachelor,,Computer Science,,three man and two kids fishing on a boat,a samurai is holding a head,a group of people are walking a parade,a group of people sitting around a men without head,three women are dancing
11227851318,251551428,12/17/2019 03:36:59 PM,12/17/2019 03:45:15 PM,133.19.169.6,,,,,Unfamiliar,Bachelor,,Computer Science,,"there is a big boat. in this boat, there are four people. they are fishing.",a man hunting a face which is floating in the air. he looking at the face and the eyes on the face is closed.,The picture is in yellow and white. the clothes are yellow. some people are carry a small box.,"there are four people and a clothes. four people are shouting to the clothes, and the clothes is flying in the air.","three woman are fighting, two of them's hand is the head of dragon, and the last one use a flower and a stick to fight with them"
11227851142,251551428,12/17/2019 03:36:52 PM,12/17/2019 03:37:18 PM,133.19.169.6,,,,,Unfamiliar,Bachelor,,Computer Science,,,,,,
11227851077,251551428,12/17/2019 03:36:33 PM,12/17/2019 03:44:51 PM,133.19.169.1,,,,,Unfamiliar,High-school,,Computer Science,,people are happy with fish a big fish.,There is a man stand without shoes and there is  a woman`s head in his hand.,The last person has a very interesting expression.,the image is very old. And there is a float coat in the house. People are amazing about it and saying somthing.,Some dancer are dancing. Looks beautiful.
11227851028,251551428,12/17/2019 03:36:50 PM,12/17/2019 03:50:26 PM,133.19.169.1,,,,,3,Master,,Computer Science,,"5 people on a dragon ship are catching fish. Only one of them has a fishing tool, 3 of them watching him, one of them seem he is not interesting in this activity. The fish is in red color and really fat. The dragon ship has a monster on the tail.",A samurai with disabled feet hold a women head.,4 people with white are carrying a little golden house and 6 people with golden surround them. 2 people in golden riding horses on the front. One horse is golden and the other one is white.,Many men with little hair are confusing about the person without head and hands. They are kneeling on the floor and the non-head person are flaying above.,One woman using a flower staff help the 2 female patients with dragon changed hands return back.
11227844222,251551428,12/17/2019 03:31:14 PM,12/17/2019 03:31:27 PM,133.19.43.10,,,,,4,Master,,Art,,,,,,
11227681778,251551428,12/17/2019 01:07:38 PM,12/17/2019 01:07:47 PM,118.17.36.248,,,,,3,Master,,Computer Science,,,,,,
11227400722,251551428,12/17/2019 09:49:11 AM,12/17/2019 09:50:24 AM,118.17.36.248,,,,,2,Bachelor,,Art,,,,,,
